Key_,County,Precinct,Population,White Single Race,Black Single Race,Native American Single Race,Asian Pacific Islander Single Race,Other Single Race,Multi Race,Hispanic,Non Hispanic,Any Part Black,Any Part Native American,Any Part Black or Native American,,Hispanic White Single Race,Hispanic Other Single Race,PL00VA_TOT,White Single Race,REG00G_TOT,White,Black,Native American,Other,Democrat,Republican,Liberitarian,Unaffiliated,White Democrat,White Republican,WhiteLibertarian,White Unaffiliated,Black Democrat,Black Republican,Black Libertarian,Black Unaffiliated,Native American Democrat,Native American Republican,Native American Libretarian,Nnative American Unaffiliated,Other Democrat,Other Republican,Other Libretarian,Other Unaffiliated,Male,Female,18-25,26-40,41-65,66+
37.007.0060,Anson,Morven/McFarlan,2047,559,1468,4,0,5,11,6,2041,1467,11,1,4,0,2,1392,439,1463,425,1034,0,4,1246,96,0,121,322,57,0,46,921,38,0,75,0,0,0,0,3,1,0,0,583,880,163,487,580,233
37.007.0061,Anson,Wadesboro 1,3018,875,2105,7,12,2,17,10,3008,2101,16,0,8,0,2,2198,701,1864,565,1281,10,8,1539,184,0,141,398,108,0,59,1130,73,0,78,8,1,0,1,3,2,0,3,757,1107,199,573,713,379
37.007.0062,Anson,Wadesboro 2,3091,1359,1669,2,21,30,10,32,3059,1668,4,0,7,5,20,2264,1111,1890,1002,884,1,3,1518,212,1,159,744,165,1,92,771,47,0,66,1,0,0,0,2,0,0,1,770,1120,191,567,741,391
37.007.0063,Anson,Wadesboro 3,3284,2053,1186,14,13,8,10,25,3259,1176,18,0,11,4,8,2531,1703,2191,1611,560,8,12,1656,348,0,187,1165,309,0,137,479,36,0,45,7,1,0,0,5,2,0,5,966,1225,217,621,861,492
37.007.0064,Anson,White Store,422,259,157,1,0,5,0,20,402,157,1,0,0,15,5,318,189,281,170,110,0,1,205,43,0,33,113,38,0,19,91,5,0,14,0,0,0,0,1,0,0,0,129,152,34,75,119,53
37.007.0065,Anson,Ansonville,1617,886,704,2,17,2,6,12,1605,703,2,3,3,9,0,1264,726,1033,597,433,0,3,825,133,0,75,423,119,0,55,401,12,0,20,0,0,0,0,1,2,0,0,454,579,109,256,433,235
37.007.0066,Anson,Burnsville,1604,1322,266,7,0,1,8,1,1603,268,13,0,0,0,1,1244,1037,948,760,186,1,1,625,250,0,73,456,241,0,63,168,9,0,9,1,0,0,0,0,0,0,1,452,496,80,245,419,204
37.007.0067,Anson,Gulledge,2189,818,1337,9,0,6,19,17,2172,1345,15,1,2,7,6,1530,645,1003,469,531,2,1,793,125,0,85,315,99,0,55,476,26,0,29,1,0,0,1,1,0,0,0,450,553,81,326,431,165
37.007.0068,Anson,Lilesville,3426,1497,1890,19,10,1,9,22,3404,1877,21,4,14,8,0,2500,1162,2035,891,1137,4,3,1670,197,0,168,636,156,0,99,1029,39,0,69,3,1,0,0,2,1,0,0,908,1127,222,539,860,414
37.007.0069,Anson,Peachland,2012,1672,259,16,47,5,13,35,1977,259,19,0,1,26,5,1472,1239,1093,939,149,3,2,712,246,1,134,590,233,1,115,120,13,0,16,1,0,0,2,1,0,0,1,505,588,103,344,438,208
37.007.0070,Anson,Polkton,2565,1219,1254,32,29,17,14,31,2534,1260,37,1,0,16,15,2184,1020,901,624,267,1,9,629,181,1,90,391,163,1,69,232,17,0,18,0,0,0,1,6,1,0,2,374,527,81,302,376,142
37.009.0071,Ashe,Clifton,1635,1618,2,0,4,6,5,16,1619,2,5,0,0,10,6,1338,1325,1339,1333,1,3,2,529,677,2,131,529,675,2,127,0,0,0,1,0,1,0,2,0,1,0,1,620,719,84,344,601,310
37.009.0072,Ashe,Creston,786,770,7,2,0,2,5,15,771,7,5,0,0,12,2,619,606,581,580,0,0,1,108,415,0,58,108,415,0,57,0,0,0,0,0,0,0,0,0,0,0,1,282,299,48,152,262,119
37.009.0073,Ashe,Elk,616,611,2,1,0,2,0,5,611,2,1,0,0,3,2,474,469,508,508,0,0,0,217,219,1,71,217,219,1,71,0,0,0,0,0,0,0,0,0,0,0,0,243,265,35,143,192,138
37.009.0074,Ashe,Helton,710,699,0,0,1,6,4,6,704,0,2,0,0,0,6,583,574,556,556,0,0,0,212,263,0,81,212,263,0,81,0,0,0,0,0,0,0,0,0,0,0,0,272,284,43,125,253,135
37.009.0075,Ashe,Horse Creek,661,656,1,0,0,1,3,0,661,1,1,0,0,0,0,524,519,525,525,0,0,0,239,241,0,45,239,241,0,45,0,0,0,0,0,0,0,0,0,0,0,0,260,265,31,130,227,137
37.009.0076,Ashe,Hurricane,526,512,0,0,0,2,12,15,511,0,2,0,0,3,2,405,400,241,239,0,0,2,86,119,0,36,86,117,0,36,0,0,0,0,0,0,0,0,0,2,0,0,113,128,12,65,104,60
37.009.0077,Ashe,Jefferson,4107,3975,43,2,19,55,13,84,4023,42,10,0,1,26,52,3338,3226,3132,3101,28,1,2,1797,984,2,349,1783,970,2,346,12,14,0,2,0,0,0,1,2,0,0,0,1424,1708,229,777,1336,790
37.009.0078,Ashe,Laurel,418,404,0,0,8,6,0,14,404,0,0,0,0,8,6,343,336,313,311,0,0,2,61,212,0,40,61,212,0,38,0,0,0,0,0,0,0,0,0,0,0,2,153,160,31,76,118,88
37.009.0079,Ashe,New River,2565,2430,40,16,4,61,14,95,2470,43,19,4,2,31,61,2035,1942,1749,1721,22,1,5,848,654,1,246,828,647,1,245,18,4,0,0,0,0,0,1,2,3,0,0,855,894,151,412,762,424
37.009.0080,Ashe,North Fork,823,814,0,0,1,1,7,9,814,0,5,1,0,8,1,654,646,726,726,0,0,0,122,528,1,75,122,528,1,75,0,0,0,0,0,0,0,0,0,0,0,0,351,375,52,180,307,187
37.009.0081,Ashe,Obids,1400,1360,16,6,1,13,4,32,1368,18,6,0,2,14,13,1114,1085,902,898,0,0,4,411,351,1,139,410,350,1,137,0,0,0,0,0,0,0,0,1,1,0,2,419,483,69,223,388,222
37.009.0082,Ashe,Old Fields,1816,1796,4,3,2,6,5,17,1799,5,7,0,0,11,6,1472,1460,1537,1530,5,0,2,619,732,0,186,616,728,0,186,1,4,0,0,0,0,0,0,2,0,0,0,712,825,121,376,684,356
37.009.0083,Ashe,Peak Creek,1168,1134,2,13,1,4,14,27,1141,2,19,0,0,13,4,944,917,781,778,0,1,2,366,344,4,67,364,344,3,67,0,0,0,0,0,0,1,0,2,0,0,0,375,406,46,168,345,222
