Key_,County,Precinct,Population,White Single Race,Black Single Race,Native American Single Race,Asian Pacific Islander Single Race,Other Single Race,Multi Race,Hispanic,Non Hispanic,Any Part Black,Any Part Native American,Any Part Black or Native American,,Hispanic White Single Race,Hispanic Other Single Race,PL00VA_TOT,White Single Race,REG00G_TOT,White,Black,Native American,Other,Democrat,Republican,Liberitarian,Unaffiliated,White Democrat,White Republican,WhiteLibertarian,White Unaffiliated,Black Democrat,Black Republican,Black Libertarian,Black Unaffiliated,Native American Democrat,Native American Republican,Native American Libretarian,Nnative American Unaffiliated,Other Democrat,Other Republican,Other Libretarian,Other Unaffiliated,Male,Female,18-25,26-40,41-65,66+
37.081.1082,Guilford,Greensboro 70,2627,34,2502,3,14,43,31,81,2546,2490,3,9,22,13,37,1830,26,1631,25,1602,0,4,1410,70,0,151,14,2,0,9,1395,68,0,139,0,0,0,0,1,0,0,3,617,1014,187,542,553,349
37.081.1083,Guilford,Greensboro 71,4225,111,3902,13,18,138,43,204,4021,3897,23,10,21,47,131,2830,88,2337,34,2292,2,9,1968,112,2,255,24,2,0,8,1939,108,2,243,1,0,0,1,4,2,0,3,837,1499,317,868,844,308
37.081.1084,Guilford,Greensboro 72,3401,510,2584,22,45,160,80,258,3143,2613,25,6,20,81,147,2347,422,1703,297,1387,7,12,1335,161,2,205,137,103,1,56,1188,57,1,141,3,0,0,4,7,1,0,4,727,977,229,694,565,215
37.081.1085,Guilford,Greensboro 73,2352,131,2156,5,3,21,36,49,2303,2162,5,20,3,26,18,1850,113,1719,65,1639,1,14,1496,86,0,137,29,22,0,14,1459,62,0,118,0,0,0,1,8,2,0,4,684,1035,137,451,585,545
37.081.1086,Guilford,Greensboro 74,2731,17,2653,11,0,21,29,29,2702,2657,12,11,12,0,16,2164,17,2360,17,2341,1,1,2145,71,0,144,15,1,0,1,2128,70,0,143,1,0,0,0,1,0,0,0,960,1401,199,648,769,744
37.081.1087,Guilford,Greensboro 75,1799,192,1539,1,26,15,26,25,1774,1544,4,6,4,3,15,1370,163,1243,313,927,0,3,948,162,0,133,126,132,0,55,820,29,0,78,0,0,0,0,2,1,0,0,530,727,130,444,520,162
37.081.1088,Guilford,Gibsonville,2779,2091,533,15,6,94,40,154,2625,537,22,2,12,39,94,2073,1612,1755,1467,284,1,3,840,596,3,316,602,581,3,281,237,14,0,33,0,0,0,1,1,1,0,1,802,955,142,567,701,347
37.081.1089,Guilford,Greensboro 8,3651,1702,1605,20,135,134,55,312,3339,1574,23,4,63,108,127,2729,1417,2099,1400,684,1,14,1262,530,3,304,669,508,3,220,580,21,0,83,1,0,0,0,12,1,0,1,893,1209,227,689,714,471
37.081.1090,Guilford,High Point 1,3893,2235,1004,47,169,326,112,704,3189,1001,61,7,22,324,319,2729,1750,1587,1210,338,5,34,769,525,0,293,467,496,0,247,282,20,0,36,2,3,0,0,18,6,0,10,646,947,162,527,574,331
37.081.1091,Guilford,High Point 2,2533,1641,521,17,72,234,48,355,2178,528,31,1,2,101,232,1927,1367,1443,1219,206,7,11,664,574,4,201,501,556,3,159,157,13,1,35,1,3,0,3,5,2,0,4,612,841,109,372,526,445
37.081.1092,Guilford,High Point 3,4342,1678,1906,39,363,210,146,441,3901,1929,54,8,15,175,208,3177,1390,1871,901,914,5,51,1117,448,0,306,352,378,0,171,736,58,0,120,1,2,0,2,28,10,0,13,739,1128,193,696,620,357
37.081.1093,Guilford,High Point 4,3869,2582,773,47,287,77,103,206,3663,784,62,11,4,117,71,2824,2072,2000,1573,380,11,36,826,796,4,374,493,764,4,312,309,20,0,51,2,5,0,4,22,7,0,7,842,1157,186,762,697,353
37.081.1094,Guilford,High Point 5,4205,1457,2279,28,256,74,111,129,4076,2290,41,12,8,54,62,2875,1170,1886,906,943,4,33,1060,493,1,332,290,419,1,196,756,65,0,122,1,1,0,2,13,8,0,12,793,1101,194,775,675,244
37.081.1095,Guilford,High Point 6,2696,2310,291,9,60,11,15,35,2661,294,11,0,0,24,11,1955,1705,1854,1654,160,5,35,661,851,4,338,505,828,4,317,142,9,0,9,4,0,0,1,10,14,0,11,881,956,158,602,851,228
37.081.1096,Guilford,High Point 7,3197,541,2455,12,82,66,41,167,3030,2441,16,3,37,66,61,2257,439,1523,344,1157,8,14,1090,224,2,207,123,150,0,71,957,70,2,128,3,1,0,4,7,3,0,4,589,933,172,557,584,211
37.081.1097,Guilford,High Point 8,2669,442,2048,12,42,97,28,259,2410,2024,16,3,33,123,96,1874,361,991,196,787,0,8,739,122,1,129,98,53,0,45,636,67,1,83,0,0,0,0,5,2,0,1,345,646,113,345,358,175
37.081.1098,Guilford,High Point 9,4272,197,3817,16,60,104,78,182,4090,3812,18,14,37,34,89,2731,144,1956,256,1682,4,14,1531,196,1,228,103,99,0,54,1420,94,1,167,3,1,0,0,5,2,0,7,692,1260,199,680,705,370
37.081.1099,Guilford,High Point 10,3255,603,2508,4,41,64,35,86,3169,2505,5,0,12,14,56,2304,486,1876,409,1450,4,13,1459,225,2,190,182,164,0,63,1269,57,1,123,1,1,1,1,7,3,0,3,744,1134,180,576,800,321
37.081.1100,Guilford,High Point 11,3747,1405,2198,7,53,35,49,60,3687,2210,8,10,6,22,25,3063,1308,2264,677,1563,6,18,1669,338,2,255,279,272,2,124,1373,63,0,127,5,0,0,1,12,3,0,3,930,1333,273,704,747,539
37.081.1101,Guilford,High Point 12,2636,1596,823,20,55,87,55,240,2396,844,33,2,10,136,84,2054,1341,1505,1103,382,5,15,781,474,2,248,459,446,2,196,315,20,0,47,1,3,0,1,6,5,0,4,631,868,115,484,507,393
37.081.1102,Guilford,High Point 13,2667,2270,250,6,28,69,44,160,2507,249,16,0,1,75,65,2131,1822,2018,1898,101,3,16,803,933,5,277,721,919,5,253,76,8,0,17,0,1,0,2,6,5,0,5,961,1041,135,549,798,524
37.081.1103,Guilford,High Point 14,1736,1680,25,2,15,8,6,17,1719,26,4,0,0,8,8,1371,1334,1490,1473,15,0,2,545,763,1,181,531,762,1,179,14,0,0,1,0,0,0,0,0,1,0,1,706,789,109,359,650,376
37.081.1104,Guilford,High Point 15,2321,1917,246,16,112,13,17,46,2275,245,18,1,1,26,13,1836,1556,1602,1432,129,3,38,515,777,3,307,390,760,3,279,104,7,0,18,1,1,0,1,20,9,0,9,705,897,177,571,585,269
37.081.1105,Guilford,High Point 16,2079,1767,163,6,50,41,52,99,1980,168,15,6,18,35,41,1600,1406,1418,1305,107,0,6,577,620,1,220,484,616,1,204,91,2,0,14,0,0,0,0,2,2,0,2,618,807,113,411,525,372
37.081.1106,Guilford,High Point 17,2581,1725,706,9,63,45,33,113,2468,700,15,8,13,58,35,2007,1453,1501,1179,311,2,9,725,515,0,261,482,493,0,204,239,20,0,52,1,1,0,0,3,1,0,5,604,898,136,455,479,433
37.081.1107,Guilford,High Point 18,2740,1388,1145,2,126,43,36,94,2646,1152,7,0,12,46,30,2120,1172,1796,1266,504,2,24,926,596,2,272,473,571,1,221,443,17,1,43,0,1,0,1,10,7,0,7,797,1003,164,575,718,337
37.081.1108,Guilford,High Point 19,3256,1875,1216,8,48,58,51,127,3129,1229,21,4,8,56,53,2542,1591,1976,1397,554,2,23,1095,555,3,323,600,536,3,258,481,13,0,60,2,0,0,0,12,6,0,5,782,1193,186,576,636,578
37.081.1109,Guilford,High Point 20,3538,2976,398,8,82,33,41,48,3490,407,15,3,6,17,19,2787,2408,2618,2321,268,2,27,1008,1169,5,436,769,1150,4,398,227,11,1,29,0,2,0,0,12,6,0,9,1174,1440,201,924,1055,440
37.081.1110,Guilford,High Point 21,1632,1448,125,4,31,12,12,32,1600,122,4,1,6,13,12,1328,1200,1242,1168,63,1,10,441,573,2,226,389,567,2,210,48,1,0,14,0,1,0,0,4,4,0,2,533,709,133,422,448,239
37.081.1111,Guilford,High Point 22,2503,1920,380,16,34,109,44,194,2309,389,18,0,7,58,107,1936,1536,1509,1361,120,6,22,528,704,1,276,425,690,1,245,93,8,0,19,4,0,0,2,6,6,0,10,693,816,143,595,498,273
37.081.1112,Guilford,High Point 23,2045,1830,154,11,34,11,5,48,1997,143,14,0,12,21,9,1637,1487,1438,1362,67,1,8,547,685,0,206,490,680,0,192,54,2,0,11,0,1,0,0,3,2,0,3,638,800,97,377,574,390
37.081.1113,Guilford,High Point 24,1998,1679,242,4,44,17,12,33,1965,246,4,0,0,22,11,1485,1276,1431,1284,130,3,14,459,742,4,226,347,726,4,207,107,11,0,12,1,1,0,1,4,4,0,6,675,755,129,489,596,219
37.081.1114,Guilford,High Point 25,2927,2654,178,8,63,2,22,24,2903,185,10,0,0,20,2,2033,1862,2008,1873,110,4,21,555,1148,4,301,468,1137,4,264,80,5,0,25,3,1,0,0,4,5,0,12,972,1037,129,675,1056,148
37.081.1115,Guilford,High Point 26,2014,1809,124,8,48,15,10,36,1978,127,10,3,0,21,12,1491,1355,1599,1496,88,1,14,497,840,1,261,418,826,1,251,74,7,0,7,1,0,0,0,4,7,0,3,766,834,136,374,921,169
37.081.1116,Guilford,High Point 27,3984,3423,350,1,168,9,33,68,3916,347,10,2,7,50,8,2768,2382,2402,2151,198,2,51,710,1246,2,444,527,1217,2,405,172,6,0,20,2,0,0,0,9,23,0,19,1146,1256,186,1086,1001,129
37.081.1117,Guilford,Oak Ridge 1,2858,2682,103,9,10,26,28,60,2798,107,18,4,1,29,26,2011,1890,1886,1801,65,6,14,550,995,6,335,486,987,6,322,55,2,0,8,2,2,0,2,7,4,0,3,916,970,151,628,935,173
37.081.1118,Guilford,Oak Ridge 2,1956,1815,99,9,19,5,9,9,1947,98,12,1,1,4,2,1414,1311,1509,1421,73,4,11,498,753,0,258,427,741,0,253,65,4,0,4,3,1,0,0,3,7,0,1,733,772,122,432,775,177
37.081.1119,Guilford,Pleasant Garden 1,2628,2094,398,44,7,44,41,61,2567,404,55,4,8,10,42,1952,1605,1880,1631,237,8,4,763,806,0,311,562,784,0,285,198,17,0,22,3,2,0,3,0,3,0,1,893,987,165,543,907,265
37.081.1120,Guilford,Pleasant Garden 2,3213,2909,248,18,7,10,21,25,3188,254,28,2,1,12,9,2430,2219,2412,2220,180,5,7,957,1131,5,319,789,1122,5,304,161,9,0,10,3,0,0,2,4,0,0,3,1120,1293,173,695,1094,451
37.081.1121,Guilford,Rock Creek 1,1958,1273,652,3,3,11,16,14,1944,653,8,6,2,3,8,1578,1039,1400,1153,239,2,6,592,580,1,227,377,565,1,210,211,12,0,16,1,0,0,1,3,3,0,0,639,756,101,377,723,197
37.081.1122,Guilford,Rock Creek 2,2490,2262,168,10,4,21,25,41,2449,170,17,0,6,14,16,1896,1733,1509,1320,185,0,4,635,623,2,249,468,615,2,235,164,8,0,13,0,0,0,0,3,0,0,1,691,814,138,467,655,247
37.081.1123,Guilford,Summerfield 1,2143,1918,142,21,5,26,31,44,2099,147,30,2,0,8,23,1643,1490,1437,1364,61,6,6,532,675,4,226,474,669,4,217,53,2,0,6,3,2,0,1,2,2,0,2,673,763,116,408,666,246
37.081.1124,Guilford,Summerfield 2,1906,1803,72,4,8,8,11,18,1888,73,12,0,0,14,3,1397,1325,1357,1295,56,2,4,477,652,4,224,421,650,4,220,51,1,0,4,2,0,0,0,3,1,0,0,634,723,98,398,694,167
37.081.1125,Guilford,Summerfield 3,2077,1963,58,6,35,4,11,17,2060,64,6,0,0,14,1,1553,1479,1427,1377,44,1,5,500,697,1,229,460,696,1,220,38,1,0,5,1,0,0,0,1,0,0,4,687,741,124,393,701,210
37.081.1126,Guilford,Summerfield 4,3224,2982,147,13,34,23,25,85,3139,154,16,1,0,51,18,2202,2041,2301,2153,119,1,28,671,1221,2,407,566,1203,2,382,98,6,0,15,1,0,0,0,6,12,0,10,1110,1182,185,752,1189,168
37.081.1127,Guilford,Fentress 1,3877,2070,1611,16,70,35,75,59,3818,1624,33,20,4,26,28,2932,1648,2631,1546,1057,8,20,1557,719,5,350,617,674,5,250,928,38,0,91,6,0,0,2,6,7,0,7,1183,1437,231,793,1116,479
37.081.1128,Guilford,Fentress 2,2043,1936,92,3,2,2,8,3,2040,92,5,0,0,2,1,1628,1545,1648,1577,68,2,1,643,789,1,215,582,785,1,209,60,3,0,5,1,1,0,0,0,0,0,1,781,867,122,319,828,378
37.081.1129,Guilford,Greensboro 40A,3411,2985,241,9,106,34,36,79,3332,245,19,4,2,42,24,2668,2362,2214,2029,128,2,55,831,998,1,384,708,969,1,351,105,8,0,15,1,0,0,1,17,21,0,17,1012,1200,172,767,840,437
37.081.1130,Guilford,Greensboro 40B,1834,1566,194,1,44,17,12,42,1792,197,2,0,2,22,17,1481,1263,1335,1184,133,1,17,458,610,2,265,350,601,2,231,101,4,0,28,0,1,0,0,7,4,0,6,621,707,174,506,553,95
37.081.1131,Guilford,Jamestown 1,3088,2711,246,6,74,23,28,63,3025,248,14,0,4,30,21,2336,2066,2460,2252,174,7,27,845,1223,3,389,697,1196,3,356,138,10,0,26,3,3,0,1,7,14,0,6,1159,1302,225,639,1191,406
37.081.1132,Guilford,Jamestown 2,1730,1400,215,7,84,8,16,24,1706,218,7,0,5,11,4,1293,1083,1192,1078,94,1,19,413,574,1,204,334,559,1,184,73,8,0,13,1,0,0,0,5,7,0,7,571,613,72,363,503,247
37.081.1133,Guilford,Jamestown 3,2398,1916,311,4,137,6,24,60,2338,317,8,0,6,47,6,1805,1480,1617,1305,296,4,12,695,667,1,254,418,660,1,226,266,6,0,24,3,0,0,1,8,1,0,3,762,861,127,550,657,287
37.081.1134,Guilford,Jamestown 4,2341,2234,47,3,26,24,7,46,2295,48,5,3,0,22,23,1834,1750,1933,1849,57,3,24,708,938,4,283,649,928,3,269,47,4,1,5,3,0,0,0,9,6,0,9,923,1000,156,416,1032,317
37.081.1135,Guilford,Jamestown 5,2469,2320,37,25,55,14,18,23,2446,40,33,1,0,10,13,1976,1869,1526,1507,12,3,4,478,789,1,258,465,785,1,256,11,1,0,0,1,1,0,1,1,2,0,1,721,820,124,406,628,387
37.081.1136,Guilford,Jefferson 1,2945,2561,282,26,7,37,32,68,2877,288,39,5,1,30,32,2238,1930,1839,1693,135,3,8,769,801,2,267,647,792,1,253,118,6,0,11,2,0,1,0,2,3,0,3,857,986,157,532,784,372
37.081.1137,Guilford,Jefferson 2,2650,2164,364,19,17,47,39,124,2526,365,26,1,12,58,44,1994,1661,1561,1229,326,3,3,734,591,3,233,447,577,3,202,285,12,0,29,1,1,0,1,1,1,0,1,729,836,132,467,661,301
37.081.1138,Guilford,Jefferson 3,2368,1336,943,14,22,19,34,28,2340,952,20,3,5,8,14,1834,1059,1611,902,697,3,9,1007,384,4,216,369,367,2,164,631,15,2,49,2,0,0,1,5,2,0,2,713,899,143,474,635,360
37.081.1139,Guilford,Jefferson 4,1591,1419,118,5,31,6,12,11,1580,119,10,3,0,4,6,1243,1109,1178,1065,101,2,10,518,468,1,191,429,460,1,175,82,4,0,15,0,1,0,1,7,3,0,0,566,614,92,317,553,218
37.081.1140,Guilford,Monroe 1,2494,1967,378,24,18,77,30,126,2368,376,34,4,9,40,75,1921,1560,1499,1253,230,9,7,686,557,2,254,482,542,2,227,196,7,0,27,5,4,0,0,3,4,0,0,642,858,164,471,606,260
37.081.1141,Guilford,Monroe 2,3936,2759,1054,30,6,60,27,89,3847,1065,31,1,4,31,50,2847,2116,2589,1707,859,7,16,1441,759,4,385,689,728,4,286,744,23,0,92,2,2,0,3,6,6,0,4,1176,1414,330,1057,836,367
37.081.1142,Guilford,Monroe 3,3705,2975,624,12,13,40,41,71,3634,632,30,2,0,29,36,2722,2204,2351,1985,349,5,12,984,959,5,403,676,937,4,368,301,16,1,31,3,0,0,2,4,6,0,2,1117,1232,207,784,1088,269
37.081.1143,Guilford,North Center Grove,3556,3324,160,15,19,14,24,33,3523,160,18,3,6,12,13,2519,2363,2296,2180,99,3,14,834,1082,4,376,750,1074,2,354,74,4,2,19,3,0,0,0,7,4,0,3,1094,1203,140,756,1106,295
37.081.1144,Guilford,North Deep River,2213,2140,26,16,15,4,12,31,2182,27,22,0,0,24,1,1666,1613,1385,1341,32,7,5,427,719,3,236,401,711,3,226,25,3,0,4,1,3,0,3,0,2,0,3,672,714,118,439,642,189
37.081.1145,Guilford,North Madison,2348,1565,717,7,2,50,7,68,2280,718,7,1,1,17,49,1757,1157,1401,946,449,0,6,789,440,0,172,389,419,0,138,399,19,0,31,0,0,0,0,1,2,0,3,628,775,103,482,584,235
37.081.1146,Guilford,South Deep River,2347,2276,39,5,21,3,3,7,2340,40,6,0,0,6,1,1779,1728,1515,1461,44,1,9,399,913,1,202,355,907,1,198,39,2,0,3,1,0,0,0,4,4,0,1,741,775,123,392,732,269
37.081.1147,Guilford,South Madison,2488,1977,423,22,20,11,35,48,2440,431,35,3,4,15,11,1825,1468,1555,1286,260,4,5,716,609,0,230,483,602,0,201,226,6,0,28,4,0,0,0,3,1,0,1,695,857,128,501,698,224
37.081.1148,Guilford,Stokesdale,3267,2963,227,10,22,15,30,63,3204,232,21,0,0,47,13,2411,2203,1858,1728,118,2,10,742,773,1,342,641,759,1,327,100,5,0,13,0,1,0,1,1,8,0,1,851,1007,108,648,774,327
37.081.1149,Guilford,Sumner 1,2093,1445,539,12,63,6,28,29,2064,548,15,6,3,16,5,1655,1186,1556,1090,447,3,16,774,551,2,229,365,529,2,194,399,13,0,35,1,2,0,0,9,7,0,0,717,841,162,568,608,222
37.081.1150,Guilford,Sumner 2,2290,1617,588,15,19,28,23,41,2249,593,22,1,4,6,27,1747,1294,1357,1039,305,5,8,630,500,2,225,363,488,2,186,259,7,0,39,2,3,0,0,6,2,0,0,614,748,129,512,524,196
37.081.1151,Guilford,Sumner 3,2098,1880,104,15,5,77,17,133,1965,103,17,4,5,43,76,1567,1440,1384,1314,63,3,4,566,622,2,194,505,619,2,188,55,2,0,6,3,0,0,0,3,1,0,0,668,718,130,372,603,283
37.081.1152,Guilford,Sumner 4,2776,2642,53,30,0,36,15,47,2729,56,41,0,0,11,36,2130,2042,1828,1777,43,4,4,578,956,2,292,536,954,2,285,39,1,0,3,2,0,0,2,1,1,0,2,848,979,167,568,801,290
37.081.1153,Guilford,North Clay,4189,3918,180,24,17,18,32,25,4164,180,37,3,2,10,12,3203,3007,3002,2874,112,5,11,1022,1556,9,415,924,1543,9,398,95,6,0,11,2,1,0,2,1,6,0,4,1452,1543,272,743,1509,472
37.081.1154,Guilford,North Washington,1446,1365,45,0,2,25,9,40,1406,46,2,1,2,14,24,1114,1056,908,883,23,1,1,359,421,1,127,340,419,1,123,18,1,0,4,1,0,0,0,0,1,0,0,429,479,66,250,422,170
37.081.1155,Guilford,South Clay,2589,2449,101,12,9,7,11,24,2565,103,15,0,0,18,6,1969,1877,1762,1700,52,3,7,665,870,3,224,614,863,3,220,47,2,0,3,2,1,0,0,2,4,0,1,827,927,138,493,751,371
37.081.1156,Guilford,South Washington,1045,920,100,4,4,9,8,18,1027,101,7,1,0,11,7,811,709,570,522,46,0,2,260,218,1,91,215,217,1,89,45,0,0,1,0,0,0,0,0,1,0,1,261,305,58,158,246,105
37.083.1157,Halifax,BUTTERWOOD,550,234,304,12,0,0,0,3,547,303,12,0,1,2,0,423,191,222,117,104,0,1,184,21,0,17,88,18,0,11,95,3,0,6,0,0,0,0,1,0,0,0,101,121,9,60,113,40
37.083.1158,Halifax,CONOCONNARA,663,163,484,0,1,13,2,24,639,482,0,0,4,7,13,520,135,419,97,321,1,0,387,14,0,18,81,8,0,8,305,6,0,10,1,0,0,0,0,0,0,0,165,254,24,97,185,113
37.083.1159,Halifax,HALIFAX,2838,739,2046,20,8,16,9,30,2808,2045,20,1,4,7,15,2441,642,898,343,551,2,2,781,66,0,51,247,56,0,40,530,10,0,11,2,0,0,0,2,0,0,0,388,510,47,234,419,198
37.083.1160,Halifax,HOBGOOD,826,323,481,0,5,10,7,28,798,477,0,0,6,7,10,617,272,450,204,246,0,0,390,41,0,19,163,29,0,12,227,12,0,7,0,0,0,0,0,0,0,0,190,260,22,146,186,96
37.083.1161,Halifax,HOLLISTER,3217,163,1443,1502,6,11,92,36,3181,1443,1532,46,13,1,8,2290,125,1398,94,620,677,7,1255,85,0,58,69,17,0,8,563,34,0,23,616,34,0,27,7,0,0,0,571,827,89,498,621,190
37.083.1162,Halifax,PALMYRA,484,58,415,1,0,5,5,4,480,413,3,0,4,0,0,355,50,103,37,65,0,1,88,12,0,3,26,8,0,3,61,4,0,0,0,0,0,0,1,0,0,0,44,59,7,27,43,26
37.083.1163,Halifax,ROSENEATH,641,315,321,1,1,0,3,0,641,322,3,0,0,0,0,485,263,318,158,160,0,0,258,45,1,14,113,35,1,9,145,10,0,5,0,0,0,0,0,0,0,0,142,176,17,86,153,62
37.083.1164,Halifax,ROANOKE RAPIDS 11,1483,1069,360,6,13,23,12,30,1453,362,8,0,1,5,19,1028,790,793,659,123,0,11,506,189,0,98,411,163,0,85,91,20,0,12,0,0,0,0,4,6,0,1,327,466,55,226,342,170
37.083.1165,Halifax,ROANOKE RAPIDS 2,667,542,109,6,7,2,1,1,666,110,6,0,0,1,0,485,404,351,318,31,2,0,209,92,0,50,182,88,0,48,25,4,0,2,2,0,0,0,0,0,0,0,155,196,17,130,147,57
37.083.1166,Halifax,ROANOKE RAPIDS 3,1641,1476,147,3,2,2,11,9,1632,150,6,0,0,6,2,1219,1117,848,804,37,2,5,601,177,0,70,569,169,0,66,30,3,0,4,2,0,0,0,0,5,0,0,341,507,28,219,358,243
37.083.1167,Halifax,ROANOKE RAPIDS 4,1416,1301,69,4,32,3,7,14,1402,71,8,0,0,12,1,1050,984,714,689,16,3,6,538,121,0,55,517,121,0,51,14,0,0,2,3,0,0,0,4,0,0,2,309,405,35,159,343,177
37.083.1168,Halifax,ROANOKE RAPIDS 5,1777,1377,364,7,1,17,11,28,1749,364,12,0,6,7,15,1246,999,727,645,73,4,5,461,185,0,81,402,173,0,70,55,10,0,8,1,2,0,1,3,0,0,2,287,440,37,263,304,123
37.083.1169,Halifax,ROANOKE RAPIDS 6,1417,1270,92,16,30,0,9,9,1408,94,18,3,0,8,0,1037,938,768,732,33,2,1,490,185,0,93,462,179,0,91,26,5,0,2,2,0,0,0,0,1,0,0,329,439,29,262,325,152
37.083.1170,Halifax,ROANOKE RAPIDS 7,2183,815,1338,9,9,1,11,13,2170,1340,9,3,4,6,0,1559,662,852,324,524,4,0,681,107,0,64,210,73,0,41,468,33,0,23,3,1,0,0,0,0,0,0,298,554,46,282,364,160
37.083.1171,Halifax,ROANOKE RAPIDS 8,2090,1190,865,9,15,9,2,21,2069,864,11,0,1,14,6,1587,964,799,489,303,4,3,608,121,1,69,337,100,1,51,266,19,0,18,3,1,0,0,2,1,0,0,290,509,42,239,322,196
37.083.1172,Halifax,ROANOKE RAPIDS 9,4252,1587,2579,43,11,6,26,21,4231,2585,50,8,3,7,5,3090,1300,1768,859,893,14,2,1353,262,1,152,550,210,1,98,790,52,0,51,12,0,0,2,1,0,0,1,714,1054,107,552,827,282
37.083.1173,Halifax,SCOTLAND NECK 1,2666,163,2454,5,3,14,27,47,2619,2448,5,6,25,5,10,1797,144,1396,141,1251,1,3,1235,103,0,58,92,34,0,15,1139,69,0,43,1,0,0,0,3,0,0,0,492,904,112,434,575,275
37.083.1174,Halifax,SCOTLAND NECK 2,1601,887,688,0,0,21,5,28,1573,687,2,0,4,3,21,1287,761,1007,717,286,2,2,849,118,0,40,585,101,0,31,261,16,0,9,1,1,0,0,2,0,0,0,413,594,67,200,447,293
37.083.1175,Halifax,ENFIELD 1,2092,377,1693,8,0,9,5,26,2066,1679,9,1,16,0,9,1430,329,961,285,668,5,3,859,75,0,27,225,49,0,11,628,24,0,16,3,2,0,0,3,0,0,0,413,548,72,303,408,178
37.083.1176,Halifax,ENFIELD 2,2548,267,2261,1,1,3,15,22,2526,2251,1,4,19,3,0,1840,228,1499,162,1331,2,4,1366,73,1,59,130,20,1,11,1230,53,0,48,2,0,0,0,4,0,0,0,583,916,109,476,638,276
37.083.1177,Halifax,ENFIELD 3,1626,435,1148,6,6,22,9,22,1604,1150,6,4,3,0,19,1186,368,917,367,547,1,2,801,80,1,35,293,53,1,20,505,27,0,15,1,0,0,0,2,0,0,0,394,523,60,246,383,228
37.083.1178,Halifax,LITTLETON 1,2476,623,1811,19,4,10,9,23,2453,1806,21,3,9,6,8,1836,519,1113,342,760,9,2,978,86,0,49,264,56,0,22,706,29,0,25,7,1,0,1,1,0,0,1,423,690,52,281,504,276
37.083.1179,Halifax,LITTLETON 2,1748,1215,504,6,4,3,16,7,1741,508,7,1,3,0,3,1477,1076,1002,767,232,2,1,709,197,0,96,499,189,0,79,208,8,0,16,2,0,0,0,0,0,0,1,442,560,28,180,465,329
37.083.1180,Halifax,RINGWOOD,2053,212,1756,58,1,16,10,18,2035,1751,63,1,8,5,5,1422,170,902,123,748,27,4,792,66,0,44,87,25,0,11,682,38,0,28,21,2,0,4,2,1,0,1,345,557,61,359,385,97
37.083.1181,Halifax,ROANOKE RAPIDS 10,3701,2745,769,23,124,11,29,37,3664,771,26,13,4,18,8,2839,2127,1907,1628,247,8,24,1293,432,2,180,1070,403,2,153,202,21,0,24,5,2,0,1,16,6,0,2,837,1070,69,576,910,352
37.083.1182,Halifax,ROANOKE RAPIDS 11,3210,2196,948,8,27,11,20,20,3190,952,12,2,3,8,9,2334,1637,1458,1040,408,3,7,977,327,1,153,601,310,1,128,371,15,0,22,1,0,0,2,4,2,0,1,653,805,73,439,739,207
37.083.1183,Halifax,WELDON 1,1667,391,1244,5,2,0,25,8,1659,1252,9,1,3,2,0,1103,337,815,275,537,2,1,690,70,0,55,205,43,0,27,483,26,0,28,2,0,0,0,0,1,0,0,298,517,60,245,323,187
37.083.1184,Halifax,WELDON 2,779,295,475,2,2,1,4,7,772,477,2,1,1,4,1,630,262,411,172,238,1,0,359,35,0,17,137,26,0,9,222,8,0,8,0,1,0,0,0,0,0,0,161,250,16,88,156,151
37.083.1185,Halifax,WELDON 3,3210,938,2219,14,3,14,22,21,3189,2218,20,2,8,4,8,2335,755,1272,388,878,3,3,1053,127,0,92,254,92,0,42,796,34,0,48,3,0,0,0,0,1,0,2,490,782,75,405,590,202
37.083.1186,Halifax,FAUCETT,1848,1058,764,7,4,14,1,22,1826,765,7,0,0,7,14,1417,866,762,477,283,1,1,611,91,1,59,359,77,1,40,251,14,0,18,1,0,0,0,0,0,0,1,333,429,41,201,364,156
37.085.1187,Harnett,ANDERSON CREEK,10409,7066,2371,152,150,362,308,708,9701,2439,219,33,42,286,332,7062,5035,4211,3264,798,35,114,1936,1361,7,907,1299,1231,7,727,581,74,0,143,13,13,0,9,43,43,0,28,1945,2266,526,1822,1513,350
37.085.1188,Harnett,AVERASBORO 1,3400,1622,1656,27,9,53,33,128,3272,1663,36,0,10,57,53,2558,1272,2127,885,1221,10,11,1503,458,0,166,403,403,0,79,1089,51,0,81,7,2,0,1,4,2,0,5,922,1205,220,593,901,413
37.085.1189,Harnett,AVERASBORO 2,2564,1475,919,55,13,64,38,103,2461,933,65,5,2,29,56,1852,1162,1501,974,510,9,8,871,425,1,204,437,394,1,142,427,27,0,56,4,1,0,4,3,3,0,2,646,855,160,419,612,310
37.085.1190,Harnett,AVERASBORO 3,1771,1061,609,34,17,24,26,38,1733,623,34,3,1,11,20,1295,858,1139,902,213,16,8,587,375,0,177,406,349,0,147,174,18,0,21,4,6,0,6,3,2,0,3,474,665,122,381,436,200
37.085.1191,Harnett,AVERASBORO 4,2387,1643,649,20,17,30,28,66,2321,657,31,2,1,32,28,1871,1340,1740,1370,346,12,12,978,518,3,241,659,497,3,211,307,16,0,23,8,4,0,0,4,1,0,7,745,995,178,449,660,453
