"Key_","County","Precinct","PL00AA_TOT","PL00AA_W_SR","PL00AA_B_SR","PL00AA_NA_SR","PL00AA_API_SR","PL00AA_O_SR","PL00AA_MR","PL00AA_HISP","PL00AA_NONHISP","PL00AA_AP_B","PL00AA_AP_NA","PL00AA_AP_BNA","PL00AA_H_AP_B","PL00AA_HW_SR","PL00AA_HO_SR","PL00VA_TOT","PL00VA_W_SR","PL00VA_B_SR","PL00VA_NA_SR","PL00VA_API_SR","PL00VA_O_SR","PL00VA_MR","PL00VA_HISP","PL00VA_NONHISP","PL00VA_AP_B","PL00VA_AP_NA","PL00VA_AP_BNA","PL00VA_H_AP_B","PL00VA_HW_SR","PL00VA_HO_SR","REG00G_TOT","REG00G_W","REG00G_B","REG00G_NA","REG00G_O","REG00G_D","REG00G_R","REG00G_L","REG00G_U","REG00G_WD","REG00G_WR","REG00G_WL","REG00G_WU","REG00G_BD","REG00G_BR","REG00G_BL","REG00G_BU","REG00G_NAD","REG00G_NAR","REG00G_NAL","REG00G_NAU","REG00G_OD","REG00G_OR","REG00G_OL","REG00G_OU","REG00G_M","REG00G_F","REG00G_1825","REG00G_2640","REG00G_4165","REG00G_66UP","EL98G_USS_D","EL98G_USS_R","EL98G_USS_L","EL00P_SA_D_RC","EL00P_SA_D_PC","EL00P_GOV_D_ME","EL00P_GOV_D_DW","EL00P_GOV_D_O","EL00P_GOV_R_LD","EL00P_GOV_R_AM","EL00P_GOV_R_CN","EL00P_GOV_R_RV","EL00G_GOV_D","EL00G_GOV_R","EL00G_GOV_O","EL00G_CJ_D","EL00G_CJ_R","EL00G_SA_D","EL00G_SA_R","EL00G_USH_D","EL00G_USH_R","EL00G_USH_O","EL00G_NCH_D","EL00G_NCH_R","EL00G_NCH_T","EL00G_NCS_D","EL00G_NCS_R","EL00G_NCS_T"
"37.051.0600","Cumberland","CROSS CREEK 19",2043,79,1905,10,5,8,36,24,2019,1915,11,5,12,1,8,1349,66,1259,5,4,4,11,10,1339,1262,6,1,3,1,4,1127,51,1048,4,24,897,75,1,154,23,14,0,14,857,57,1,133,1,1,0,2,16,3,0,5,418,709,152,440,395,140,332,9,0,119,65,162,45,11,0,1,0,1,434,11,0,435,10,433,8,431,13,0,393,7,0,438,0,0
"37.051.0601","Cumberland","CROSS CREEK 20",2240,1683,362,74,27,33,61,108,2132,367,91,1,14,47,32,1725,1373,223,52,25,19,33,61,1664,220,63,1,9,25,19,1273,1021,183,37,32,614,434,1,224,438,398,1,184,139,15,0,29,24,10,0,3,13,11,0,8,577,696,107,425,516,225,278,369,10,101,116,153,88,17,44,4,10,33,398,358,15,347,410,362,375,484,262,11,472,300,0,423,347,0
"37.051.0602","Cumberland","CROSS CREEK 21",5449,2514,2411,43,121,175,185,321,5128,2455,77,9,34,104,165,4105,2086,1681,33,105,115,85,215,3890,1686,57,4,18,77,110,3193,1745,1301,19,128,1686,859,6,642,617,728,5,395,1011,79,1,210,11,5,0,3,47,47,0,34,1397,1796,416,1341,1150,286,571,417,20,178,187,255,144,18,39,3,15,56,783,479,16,766,489,758,470,665,575,7,844,609,121,809,449,0
"37.051.0603","Cumberland","CROSS CREEK 22",6011,3507,2070,46,120,126,142,270,5741,2094,68,15,35,119,100,4678,2935,1451,41,92,83,76,192,4486,1453,54,8,21,88,76,3117,1937,1039,14,127,1457,998,3,659,620,869,1,447,788,78,2,171,6,5,0,3,43,46,0,38,1370,1747,482,1284,1070,281,508,456,16,163,165,243,121,10,67,2,25,37,785,534,20,747,568,757,525,916,369,18,863,669,110,848,462,0
"37.051.0604","Cumberland","CROSS CREEK 23",7253,4836,1808,50,196,157,206,416,6837,1844,71,14,39,195,137,5285,3683,1206,35,158,105,98,269,5016,1208,51,8,18,125,101,3931,2727,968,10,226,1620,1417,1,893,801,1293,1,632,736,53,0,179,2,6,0,2,81,65,0,80,1756,2175,443,1630,1666,192,731,765,21,280,239,387,192,17,122,3,42,114,1049,978,29,933,1046,949,988,1247,727,23,1208,1227,169,1122,885,0
"37.051.0605","Cumberland","CROSS CREEK 24",1758,1120,418,17,69,86,48,143,1615,427,21,4,9,43,81,1353,933,269,14,58,51,28,90,1263,272,16,3,5,29,49,1031,742,228,1,60,434,322,1,274,242,284,1,215,170,17,0,41,0,1,0,0,22,20,0,18,472,559,124,448,368,91,340,291,9,59,71,69,61,7,25,3,7,28,241,236,12,248,230,235,233,293,185,6,232,260,0,308,0,0
"37.051.0606","Cumberland","CROSS CREEK 25",2726,1497,914,15,121,86,93,241,2485,914,22,8,22,124,72,1956,1139,607,12,101,48,49,158,1798,600,19,6,14,89,43,1452,873,462,7,110,598,516,4,334,205,453,2,213,355,23,2,82,5,0,0,2,33,40,0,37,673,779,175,490,708,79,260,240,5,71,62,83,64,5,52,3,13,57,347,328,14,354,326,365,308,321,362,3,404,382,39,415,0,0
"37.051.0607","Cumberland","CROSS CREEK 26",5658,2505,2445,55,301,166,186,412,5246,2449,78,14,59,151,152,4316,2058,1759,33,247,114,105,285,4031,1747,51,7,37,110,108,2964,1246,1481,19,218,1563,791,3,607,295,634,2,315,1191,85,1,204,5,6,0,8,72,66,0,80,1322,1642,387,1239,1181,157,697,251,9,230,135,253,141,4,52,7,10,41,868,395,13,840,410,831,407,812,435,6,801,393,0,928,0,0
"37.051.0608","Cumberland","CROSS CREEK 27",8176,3836,3229,88,263,389,371,926,7250,3244,120,33,144,342,353,5868,3059,2079,64,218,265,183,621,5247,2063,88,21,74,249,251,3614,2028,1275,19,292,1608,1089,3,914,524,925,3,576,957,80,0,238,11,2,0,6,116,82,0,94,1489,2125,523,1979,1020,92,347,202,10,77,76,91,66,10,40,8,11,35,662,370,30,660,383,651,379,613,417,12,699,461,99,765,0,0
"37.051.0609","Cumberland","CROSS CREEK 28",5356,1163,3720,33,140,112,188,213,5143,3759,46,52,37,59,97,3642,842,2524,24,100,70,82,128,3514,2529,32,29,19,39,63,2891,636,2126,17,112,1977,435,5,474,197,282,0,157,1718,119,5,284,8,6,0,3,54,28,0,30,1202,1689,325,1118,1227,221,789,118,7,269,193,345,137,16,17,2,3,19,1089,180,14,1073,196,1077,184,1049,208,8,912,176,0,1117,0,0
"37.051.0610","Cumberland","CROSS CREEK 29",4891,2285,2099,46,109,219,133,418,4473,2108,59,7,42,148,194,3585,1810,1422,32,93,153,75,284,3301,1422,38,6,18,101,145,2590,1337,1085,14,154,1334,713,4,539,406,595,2,334,855,65,2,163,2,7,0,5,71,46,0,37,1130,1460,368,1103,918,201,519,265,10,149,146,220,86,8,46,3,18,34,729,350,18,721,371,705,370,782,288,10,768,458,93,746,346,0
"37.051.0611","Cumberland","CROSS CREEK 30",2584,1719,605,47,53,68,92,176,2408,623,67,11,19,74,65,1955,1388,393,38,41,53,42,137,1818,392,49,4,12,58,52,1512,1113,320,10,69,758,441,6,307,481,400,6,226,252,14,0,54,3,2,0,5,22,25,0,22,637,875,149,584,559,220,323,271,17,120,100,146,93,8,39,5,13,29,392,311,16,386,322,398,301,475,221,8,464,251,0,432,282,0
"37.051.0612","Cumberland","CROSS CREEK 31",3893,2459,974,83,61,168,148,343,3550,984,112,19,40,123,159,2803,1875,639,52,53,102,82,211,2592,639,69,12,20,81,97,2201,1517,542,23,119,1018,707,5,471,547,628,5,337,412,34,0,96,14,6,0,3,45,39,0,35,974,1227,272,932,793,204,284,260,9,91,112,148,77,11,58,4,17,34,504,395,20,467,436,457,429,563,323,12,538,372,0,514,392,0
"37.051.0613","Cumberland","CROSS CREEK 32",2258,589,1378,7,110,60,114,148,2110,1389,21,14,35,59,39,1604,449,962,7,91,40,55,98,1506,958,16,8,20,38,29,1259,329,836,6,88,749,230,1,279,78,153,1,97,641,51,0,144,2,0,0,4,28,26,0,34,532,727,162,500,526,71,233,128,4,82,74,113,59,1,18,1,4,9,378,117,9,390,113,378,118,351,136,8,343,111,5,413,0,0
"37.051.0614","Cumberland","CROSS CREEK 33",3919,1941,1516,35,173,99,155,259,3660,1545,50,27,33,116,90,2920,1543,1069,24,138,67,79,170,2750,1067,35,17,18,78,64,2197,1146,901,6,144,1087,666,3,441,331,547,2,266,695,54,1,151,3,2,0,1,58,63,0,23,995,1202,222,656,1064,255,423,233,8,171,140,209,131,6,99,2,15,55,599,481,23,600,492,612,463,568,516,7,542,525,0,733,0,0
"37.051.0615","Cumberland","CROSS CREEK 34",2910,2068,494,21,183,48,96,125,2785,513,34,5,10,67,39,2118,1545,346,15,134,29,49,85,2033,349,21,5,6,47,26,1709,1368,236,12,93,712,720,0,277,503,663,0,202,173,19,0,44,2,6,0,4,34,32,0,27,765,944,193,540,812,164,341,547,8,102,121,141,125,15,81,5,21,71,400,542,6,367,555,363,541,571,354,5,532,654,69,506,436,0
"37.051.0616","Cumberland","CEDAR CREEK",3028,1789,1040,113,4,30,52,64,2964,1046,131,12,8,18,29,2126,1304,700,78,3,19,22,31,2095,699,87,7,4,6,18,1499,926,522,23,28,877,372,3,247,418,326,2,180,435,33,1,53,13,4,0,6,11,9,0,8,679,820,167,509,685,138,324,269,6,128,87,170,74,3,30,0,9,19,551,302,11,484,354,514,305,617,225,3,475,332,0,571,286,0
"37.051.0617","Cumberland","CLIFFDALE WEST",8717,3968,3600,54,275,395,425,882,7835,3658,103,30,109,316,369,5499,2601,2254,35,216,230,163,495,5004,2261,57,12,52,188,224,3993,1900,1739,19,335,1826,1223,5,939,372,966,4,558,1319,124,1,295,10,7,0,2,125,126,0,84,1775,2218,490,1691,1735,77,530,328,11,151,122,209,76,6,66,7,12,32,1082,541,30,1027,605,1020,604,975,650,15,1079,703,111,1200,0,0
"37.051.0618","Cumberland","EASTOVER",6023,4269,1483,109,17,63,82,147,5876,1510,135,1,12,56,59,4659,3355,1129,79,16,42,38,95,4564,1138,93,1,9,38,40,3049,2222,746,31,50,1727,875,11,436,1053,812,8,349,637,41,3,65,16,9,0,6,21,13,0,16,1418,1631,371,984,1341,353,636,797,12,313,251,408,229,27,90,5,19,57,983,814,20,853,909,917,797,1163,570,19,1159,1061,144,1165,0,0
"37.051.0619","Cumberland","JUDSON/VANDER",4726,3192,1184,165,50,47,88,97,4629,1202,194,4,8,37,41,3510,2475,821,117,37,20,40,58,3452,827,132,3,5,29,19,2401,1738,564,64,35,1280,763,0,358,752,705,0,281,477,33,0,54,39,13,0,12,12,12,0,11,1086,1315,256,791,1134,220,465,516,10,203,156,259,136,22,52,3,12,49,703,597,11,623,641,641,577,812,442,13,787,488,0,765,519,0
"37.051.0620","Cumberland","LINDEN",4029,3177,672,29,35,47,69,134,3895,688,42,7,12,67,42,2877,2317,459,23,29,21,28,75,2802,460,30,3,8,40,21,2101,1675,354,13,59,915,754,3,429,600,707,3,365,285,22,0,47,10,3,0,0,20,22,0,17,989,1112,233,728,998,142,332,404,17,109,105,145,80,13,66,2,16,30,488,571,18,429,631,467,573,598,440,20,546,675,102,590,478,0
"37.051.0621","Cumberland","LONG HILL",4300,2862,1160,37,60,81,100,196,4104,1155,53,9,35,80,64,2958,1987,797,29,49,47,49,120,2838,790,41,4,18,51,41,2380,1579,704,15,82,1103,783,3,491,489,724,1,365,576,25,2,101,9,4,0,2,29,30,0,23,1064,1316,266,868,1087,159,453,407,18,158,114,216,78,14,36,1,10,29,638,531,24,597,569,607,533,734,415,16,708,670,101,690,485,0
"37.051.0622","Cumberland","LAKE RIM",5029,1631,2749,45,152,254,198,565,4464,2759,63,27,82,207,238,3157,1076,1706,30,120,148,77,314,2843,1691,44,16,45,109,144,2315,788,1310,16,201,1264,530,2,519,188,385,1,214,991,76,1,242,9,3,0,4,76,66,0,59,1046,1269,315,945,997,58,452,143,13,82,83,123,42,9,20,3,12,16,698,254,15,686,271,682,271,659,292,8,709,339,78,766,0,0
"37.051.0623","Cumberland","MANCHESTER",34547,20248,8777,390,973,2642,1517,5020,29527,8916,574,99,414,1653,2543,25491,15565,6175,301,782,1865,803,3433,22058,6138,426,61,265,1104,1818,7680,4186,2622,51,821,3007,2527,28,2118,844,1986,22,1334,1813,252,5,552,16,18,1,16,334,271,0,216,4035,3645,2112,4198,1245,125,415,243,12,74,85,110,56,10,31,2,8,15,782,619,25,745,640,727,652,688,686,15,730,646,0,808,369,0
"37.051.0624","Cumberland","MONTIBELLO",2730,1248,1167,23,42,143,107,275,2455,1174,33,9,33,83,138,1772,857,744,16,33,84,38,149,1623,735,21,6,17,43,82,1110,549,496,3,62,551,295,1,263,143,239,1,166,384,35,0,77,2,1,0,0,22,20,0,20,501,609,149,542,364,55,152,85,7,52,38,67,22,3,9,1,8,3,299,111,4,283,126,285,123,276,130,6,290,143,30,310,0,0
"37.051.0625","Cumberland","SHERWOOD",2799,1906,705,106,5,30,47,98,2701,702,129,13,7,46,29,1958,1364,485,63,4,16,26,59,1899,483,76,8,5,32,16,1648,1157,429,22,40,841,481,0,326,447,448,0,262,365,22,0,42,13,3,0,6,16,8,0,16,751,897,194,641,699,114,307,225,5,114,79,151,60,14,17,3,10,24,518,324,9,445,384,470,337,568,258,9,546,291,0,527,302,0
"37.051.0626","Cumberland","SPRING LAKE",8098,2751,4139,67,321,395,425,963,7135,4189,112,46,139,360,373,5645,2119,2739,50,270,276,191,641,5004,2723,82,22,75,252,267,4022,1391,2252,24,355,2174,874,11,963,418,535,8,430,1600,206,3,443,11,11,0,2,145,122,0,88,1753,2269,656,1796,1396,174,643,220,12,205,167,249,147,10,22,7,7,21,978,331,16,964,350,971,320,920,371,9,1000,317,0,1081,8,0
"37.051.0627","Cumberland","STONEY POINT",6628,5379,761,171,81,72,164,262,6366,792,207,12,20,148,61,4688,3885,491,127,68,45,72,150,4538,494,145,6,8,86,43,3651,3108,374,78,91,1448,1489,3,711,1084,1411,3,610,288,26,0,60,43,20,0,15,33,32,0,26,1729,1922,353,1231,1802,265,471,702,11,147,168,222,121,19,102,16,21,67,769,948,25,637,1055,671,973,955,727,12,915,797,0,882,834,0
"37.051.0628","Cumberland","STEDMAN",5081,4155,666,94,23,73,70,114,4967,671,123,2,14,30,66,3796,3127,493,76,20,50,30,71,3725,492,89,2,6,17,47,2380,1982,339,29,30,1070,868,4,438,772,829,4,377,270,22,0,47,17,6,0,6,11,11,0,8,1107,1273,260,894,1041,185,493,624,20,202,148,268,114,13,74,9,14,40,770,678,15,617,803,678,705,908,512,7,901,541,0,815,624,0
"37.051.0629","Cumberland","WADE",1315,1085,171,22,10,17,10,38,1277,172,27,1,0,22,16,995,828,130,16,7,9,5,23,972,130,20,0,0,14,9,944,695,227,14,8,542,265,2,135,319,255,2,119,211,6,0,10,6,4,0,4,6,0,0,2,445,499,99,352,380,113,229,294,10,97,85,150,41,12,38,1,4,13,339,280,10,278,338,317,281,404,205,3,382,371,60,363,258,0
"37.051.0630","Cumberland","WEST AREA",7663,2808,4147,83,142,206,277,515,7148,4174,112,41,109,156,187,5337,2234,2648,59,112,154,130,333,5004,2647,78,24,53,101,146,4130,1623,2295,24,188,2372,884,8,866,500,675,5,443,1771,149,3,372,14,7,0,3,87,53,0,48,1809,2321,625,1740,1558,207,690,357,16,216,150,279,106,12,44,8,16,28,1002,484,20,986,518,985,480,905,547,16,878,570,0,1120,0,0
"37.053.0631","Currituck","COROVA BEACH",153,150,0,1,0,1,1,1,152,0,2,0,0,0,1,133,130,0,1,0,1,1,1,132,0,2,0,0,0,1,92,91,0,0,1,49,19,0,24,48,19,0,24,0,0,0,0,0,0,0,0,1,0,0,0,49,43,5,17,58,12,15,12,2,4,9,6,1,7,1,0,1,0,31,25,1,23,27,25,27,21,28,2,37,0,0,35,20,0
"37.053.0632","Currituck","COURTHOUSE",3320,3088,168,8,8,13,35,56,3264,176,27,0,3,34,12,2380,2227,117,6,6,7,17,39,2341,116,20,0,1,26,7,2228,2110,98,4,16,1055,611,5,557,962,603,5,540,88,1,0,9,0,0,0,4,5,7,0,4,1044,1184,233,629,1069,297,327,408,18,126,139,178,67,67,11,2,31,12,570,597,55,466,710,478,678,421,766,29,800,0,0,698,520,0
"37.053.0633","Currituck","CHURCH'S ISLAND",278,270,0,2,0,0,6,3,275,0,6,0,0,3,0,225,218,0,2,0,0,5,3,222,0,5,0,0,3,0,233,232,0,0,1,133,52,0,48,132,52,0,48,0,0,0,0,0,0,0,0,1,0,0,0,106,127,19,64,94,56,41,41,1,20,15,29,9,8,5,0,6,4,65,70,0,52,72,56,63,44,88,2,95,0,0,93,39,0
"37.053.0634","Currituck","COINJOCK",1258,972,225,20,8,16,17,55,1203,228,26,0,0,27,15,964,755,162,18,6,14,9,43,921,162,22,0,0,19,13,560,461,91,1,7,342,107,0,111,262,100,0,99,76,5,0,10,0,1,0,0,4,1,0,2,231,329,62,162,225,111,98,68,3,39,29,55,18,12,0,1,3,2,158,86,14,133,114,152,97,128,128,4,196,0,0,196,66,0
"37.053.0635","Currituck","GIBBS WOODS",435,427,1,0,2,0,5,5,430,1,2,0,0,5,0,321,315,1,0,2,0,3,4,317,1,2,0,0,4,0,281,276,1,0,4,113,91,0,77,109,91,0,76,1,0,0,0,0,0,0,0,3,0,0,1,134,147,41,87,132,21,21,45,3,8,12,10,6,6,6,4,2,0,76,72,3,64,77,58,81,56,89,4,92,0,0,79,66,0
"37.053.0636","Currituck","INDIAN RIDGE",1084,877,178,4,7,12,6,9,1075,179,7,0,0,4,5,836,686,132,3,6,5,4,5,831,132,6,0,0,2,3,846,692,149,0,5,550,140,2,154,408,139,2,143,139,1,0,9,0,0,0,0,3,0,0,2,389,457,88,229,390,139,154,160,9,109,47,105,48,31,1,1,3,3,279,162,14,232,191,244,166,203,242,4,350,0,0,343,115,0
"37.053.0637","Currituck","KNOTTS ISLAND",1390,1374,0,3,6,0,7,14,1376,0,4,0,0,13,0,1026,1016,0,3,3,0,4,5,1021,0,4,0,0,4,0,847,844,0,0,3,348,278,2,219,348,277,2,217,0,0,0,0,0,0,0,0,0,1,0,2,402,445,75,232,429,111,91,119,4,29,37,33,17,20,6,4,4,2,243,218,16,189,258,179,261,144,311,8,281,0,0,259,209,0
