"Key_","County","Precinct","PL00AA_TOT","PL00AA_W_SR","PL00AA_B_SR","PL00AA_NA_SR","PL00AA_API_SR","PL00AA_O_SR","PL00AA_MR","PL00AA_HISP","PL00AA_NONHISP","PL00AA_AP_B","PL00AA_AP_NA","PL00AA_AP_BNA","PL00AA_H_AP_B","PL00AA_HW_SR","PL00AA_HO_SR","PL00VA_TOT","PL00VA_W_SR","PL00VA_B_SR","PL00VA_NA_SR","PL00VA_API_SR","PL00VA_O_SR","PL00VA_MR","PL00VA_HISP","PL00VA_NONHISP","PL00VA_AP_B","PL00VA_AP_NA","PL00VA_AP_BNA","PL00VA_H_AP_B","PL00VA_HW_SR","PL00VA_HO_SR","REG00G_TOT","REG00G_W","REG00G_B","REG00G_NA","REG00G_O","REG00G_D","REG00G_R","REG00G_L","REG00G_U","REG00G_WD","REG00G_WR","REG00G_WL","REG00G_WU","REG00G_BD","REG00G_BR","REG00G_BL","REG00G_BU","REG00G_NAD","REG00G_NAR","REG00G_NAL","REG00G_NAU","REG00G_OD","REG00G_OR","REG00G_OL","REG00G_OU","REG00G_M","REG00G_F","REG00G_1825","REG00G_2640","REG00G_4165","REG00G_66UP","EL98G_USS_D","EL98G_USS_R","EL98G_USS_L","EL00P_SA_D_RC","EL00P_SA_D_PC","EL00P_GOV_D_ME","EL00P_GOV_D_DW","EL00P_GOV_D_O","EL00P_GOV_R_LD","EL00P_GOV_R_AM","EL00P_GOV_R_CN","EL00P_GOV_R_RV","EL00G_GOV_D","EL00G_GOV_R","EL00G_GOV_O","EL00G_CJ_D","EL00G_CJ_R","EL00G_SA_D","EL00G_SA_R","EL00G_USH_D","EL00G_USH_R","EL00G_USH_O","EL00G_NCH_D","EL00G_NCH_R","EL00G_NCH_T","EL00G_NCS_D","EL00G_NCS_R","EL00G_NCS_T"
"37.053.0638","Currituck","MOYOCK",4212,3793,319,19,25,10,46,62,4150,335,28,0,2,47,6,2997,2692,240,14,23,7,21,46,2951,242,22,0,0,35,6,2760,2464,264,5,27,1151,849,6,754,899,832,6,727,239,8,0,17,4,0,0,1,9,9,0,9,1319,1441,319,938,1210,293,342,384,15,131,103,132,87,40,22,13,18,10,673,738,49,571,848,603,803,525,894,27,893,0,0,774,677,0
"37.053.0639","Currituck","POPLAR BRANCH",3624,3236,286,23,16,26,37,30,3594,287,48,2,1,11,14,2786,2510,220,16,10,9,21,17,2769,219,30,1,1,8,6,2313,2115,172,6,20,1287,547,5,474,1122,535,5,453,153,7,0,12,2,1,0,3,10,4,0,6,1079,1234,246,632,990,445,430,391,15,132,129,206,72,41,18,8,22,15,691,487,34,545,606,604,529,532,640,16,828,0,0,821,401,0
"37.053.0640","Currituck","POWELLS POINT",1941,1777,133,3,3,11,14,23,1918,134,6,2,0,13,10,1475,1360,92,3,3,8,9,15,1460,93,6,1,0,7,8,1185,1065,108,5,7,646,310,0,229,541,305,0,219,101,2,0,5,4,1,0,0,0,2,0,5,528,657,121,331,501,232,208,243,8,50,55,96,30,20,15,6,13,5,374,295,19,307,353,329,319,279,397,7,486,0,0,511,185,0
"37.053.0641","Currituck","WHALEHEAD",495,481,8,0,2,2,2,3,492,8,1,0,0,1,2,440,430,4,0,2,2,2,3,437,4,1,0,0,1,2,316,314,0,1,1,98,122,1,95,97,122,1,94,0,0,0,0,0,0,0,1,1,0,0,0,161,155,20,66,188,42,45,55,2,11,17,18,9,7,4,2,3,1,68,99,4,45,113,54,105,47,113,4,91,0,0,89,77,0
"37.055.0642","Dare","EAST LAKE",147,143,0,0,0,4,0,4,143,0,0,0,0,0,4,108,106,0,0,0,2,0,2,106,0,0,0,0,0,2,85,85,0,0,0,62,17,0,6,62,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,41,44,5,30,37,13,11,28,0,10,11,9,10,5,1,0,1,0,25,16,0,20,15,19,18,10,30,0,28,12,0,29,12,0
"37.055.0643","Dare","FRISCO",845,832,0,2,2,5,4,7,838,1,4,0,0,2,5,686,674,0,2,1,5,4,6,680,1,4,0,0,1,5,715,712,0,0,3,358,243,0,114,357,241,0,114,0,0,0,0,0,0,0,0,1,2,0,0,350,365,48,159,368,140,183,135,8,32,42,67,38,5,10,6,13,11,236,178,13,187,203,173,205,162,257,2,202,216,0,303,128,0
"37.055.0644","Dare","KITTY HAWK",2991,2935,19,7,9,6,15,28,2963,20,12,1,0,19,6,2347,2309,14,7,7,4,6,21,2326,14,10,0,0,14,4,1979,1956,9,0,14,819,681,6,473,805,677,6,468,5,0,0,4,0,0,0,0,9,4,0,1,933,1046,114,599,960,306,388,380,12,117,126,183,85,32,39,23,39,24,640,467,25,516,556,499,549,492,608,16,555,559,0,851,274,0
"37.055.0645","Dare","MANNS HARBOR",837,782,7,2,0,33,13,56,781,11,3,0,1,19,33,624,591,6,1,0,17,9,30,594,8,2,0,1,11,17,461,453,7,0,1,293,115,0,53,288,115,0,50,4,0,0,3,0,0,0,0,1,0,0,0,212,249,46,120,215,80,123,105,8,43,26,52,26,10,4,3,5,8,158,104,3,112,125,127,103,94,171,1,141,126,0,208,66,0
"37.055.0646","Dare","NAGS HEAD",2718,2634,36,4,12,13,19,39,2679,38,9,1,0,25,13,2199,2138,27,3,8,11,12,27,2172,28,8,0,0,16,11,1839,1814,9,2,14,809,553,2,475,796,550,2,466,7,1,0,1,1,0,0,1,5,2,0,7,880,959,110,554,900,275,427,348,27,122,189,236,120,33,44,14,27,38,674,360,19,526,468,537,447,555,477,12,569,476,0,859,207,0
"37.055.0647","Dare","BUXTON",1163,1143,4,0,1,8,7,18,1145,5,5,1,0,9,8,920,904,4,0,1,7,4,14,906,4,4,0,0,7,7,705,698,2,1,4,386,197,1,121,383,194,1,120,1,1,0,0,0,0,0,1,2,2,0,0,333,372,60,208,322,115,183,113,9,43,64,101,40,7,13,2,9,15,257,168,15,189,207,184,181,161,271,10,236,199,0,332,104,0
